Id,Date,Day,Task,Client,Total,Work unit notes
57,2014-3-29,Sat,SYSADM,MEN,10:45,work-acuity; work-acuity; work-acuity
58,2014-3-29,Sat,R&R,MEN,0:57,vikings
59,2014-3-30,Sun,SYSADM,MEN,11:12,work-acuity; work-acuity; work-acuity
60,2014-3-31,Mon,SYSDEV,MEN,2:41,wrkflow
61,2014-3-31,Mon,SYSADM,MEN,6:35,Work-hris; work-acuity; work-acuity
62,2014-4-1,Tue,WORKOUT,PHY,0:08,
63,2014-4-1,Tue,SYSDEV,MEN,3:54,work-updating email form
64,2014-4-1,Tue,DESIGN,MEN,1:40,work-alallamhost project kickoff
65,2014-4-1,Tue,SYSADM,MEN,2:25,work-acuity
66,2014-4-1,Tue,PERSDEV,MEN,0:58,entrepreneur-video j.belforth
67,2014-4-1,Tue,(no task),,0:00,
68,2014-4-2,Wed,SYSDEV,MEN,6:53,work-alallamhost; wrkflow-video yeoman
69,2014-4-2,Wed,SYSADM,MEN,2:08,work-acuity
70,2014-4-2,Wed,WRITING,MEN,0:57,work-comPany profile.
71,2014-4-3,Thu,SYSADM,MEN,5:32,work-hris; work-league management; Work-encoding in jobber client profile
72,2014-4-3,Thu,WRITING,MEN,0:39,Work-alallam host content
73,2014-4-4,Fri,SYSADM,MEN,0:20,work-acuity
74,2014-4-4,Fri,PERSDEV,MEN,2:46,Rss; Audio-Law of succeSs; video-straight line system
75,2014-4-4,Fri,R&R,MEN,1:53,movie; movies
76,2014-4-5,Sat,SYSDEV,MEN,3:41,work-google ads; facebook ads; work-lsportsleague website
77,2014-4-5,Sat,DESIGN,MEN,1:37,work-lsportsleauge content generation; work-lsportsleauge content generation
78,2014-4-5,Sat,SYSADM,MEN,3:12,work-hris; work-gps; work-seo;analytics;
79,2014-4-5,Sat,PERSDEV,MEN,0:37,book-think and grow rich; Video-art of prospecting
80,2014-4-5,Sat,WRITING,MEN,1:44,work-lsportsleague website
81,2014-4-6,Sun,WORKOUT,PHY,0:18,
82,2014-4-6,Sun,SYSDEV,MEN,8:58,work-LSL Web design; work-LSL Web design; work-custom web design using leagueapps platform
83,2014-4-6,Sun,PROMNG,MEN,1:12,Projectplan
84,2014-4-7,Mon,WORKOUT,PHY,0:14,
85,2014-4-7,Mon,SYSDEV,MEN,2:41,work-lsl
86,2014-4-7,Mon,SYSADM,MEN,5:47,Work-hosting; hris{organize applicants}; work-cctv audit; work-leagueapp / filing
87,2014-4-7,Mon,R&R,MEN,0:53,movie
88,2014-4-8,Tue,WORKOUT,PHY,0:18,
89,2014-4-8,Tue,SYSDEV,MEN,2:21,work-lsl
90,2014-4-8,Tue,SYSADM,MEN,4:56,work-lsl / set pc auto shutdown
91,2014-4-9,Wed,WORKOUT,PHY,0:26,
92,2014-4-9,Wed,SYSDEV,MEN,8:22,work-lsl; work-lsl
93,2014-4-9,Wed,PERSDEV,MEN,0:47,rss
94,2014-4-10,Thu,SYSDEV,MEN,6:46,webinar-wp sass; work-alallamhost; webinar-workflow; wrkflow-yeoman
95,2014-4-12,Sat,SYSDEV,MEN,9:20,work-lsl; wrkflow-yeoman
96,2014-4-13,Sun,SYSDEV,MEN,1:28,webinar-yeoman
97,2014-4-13,Sun,DSGN-PHOTOSHOP,MEN,7:02,work-lsl design fb market campaign /; work-van decals
98,2014-4-13,Sun,SYSADM,MEN,3:06,work-lsl; work-jobber plot gps
99,2014-4-14,Mon,WORKOUT,PHY,0:18,
100,2014-4-14,Mon,SYSDEV,MEN,2:54,webinar-yeoman
101,2014-4-14,Mon,DESIGN,MEN,3:07,work-leaguesports
102,2014-4-14,Mon,DSGN-SKETCHUP,MEN,0:41,work-rami req
103,2014-4-14,Mon,SYSADM,MEN,0:45,work-docs
104,2014-4-15,Tue,WORKOUT,PHY,0:22,
105,2014-4-15,Tue,SYSDEV,MEN,2:12,PProject-folio
106,2014-4-15,Tue,DSGN-PHOTOSHOP,MEN,1:45,work-adam bday
107,2014-4-15,Tue,DSGN-SKETCHUP,MEN,1:01,work-dining hall
108,2014-4-15,Tue,SYSADM,MEN,3:45,work-hris
109,2014-4-15,Tue,PROMNG,MEN,0:55,planning
110,2014-4-15,Tue,PERSDEV,MEN,1:11,Think and grow rich - belief and burning desire / FAITH VISUALIZATION OF; AND BELIEF IN ATTAINMENT OF DESIRE w AUTOSUGGESTION
111,2014-4-16,Wed,SYSDEV,MEN,6:02,work-gps inquiry app; pproject-folio; pproject-folio
112,2014-4-16,Wed,DSGN-SKETCHUP,MEN,0:45,work-dining hall mr.rami
113,2014-4-16,Wed,SYSADM,MEN,0:58,
114,2014-4-16,Wed,PROMNG,MEN,0:40,updating password
115,2014-4-17,Thu,WORKOUT,PHY,0:26,
116,2014-4-17,Thu,SYSDEV,MEN,6:50,webinar-yeoman; pproject
117,2014-4-17,Thu,PROMNG,MEN,3:25,planning; pproject-sow ecof; pproject-sow ecof
118,2014-4-17,Thu,R&R,MEN,1:24,pacmaN VS BRADLEY
119,2014-4-18,Fri,SYSDEV,MEN,1:27,webinar-yeoman; rss
120,2014-4-19,Sat,DSGN-PHOTOSHOP,MEN,1:13,work-lsl
121,2014-4-19,Sat,PROMNG,MEN,2:08,planning
122,2014-4-20,Sun,SYSDEV,MEN,0:30,rss-sysdev
123,2014-4-20,Sun,DSGN-SKETCHUP,MEN,1:37,
124,2014-4-20,Sun,PERSDEV,MEN,0:44,rss-persdev
125,2014-4-21,Mon,WORKOUT,PHY,0:18,
126,2014-4-21,Mon,SYSDEV,MEN,2:11,pproject-folio
127,2014-4-22,Tue,SYSDEV,MEN,2:45,pproject-folio
128,2014-4-22,Tue,R&R,MEN,2:23,cpt.america
129,2014-4-22,Tue,WRITING,MEN,1:36,work-al allamhost content formulatin
130,2014-4-23,Wed,SYSDEV,MEN,6:22,work- wpsite new content; pproject-folio
131,2014-4-23,Wed,SYSADM,MEN,3:16,work-vendor mngt
132,2014-4-23,Wed,PERSDEV,MEN,1:26,rss; talentisnotenuff
133,2014-4-24,Thu,WORKOUT,PHY,0:23,
134,2014-4-24,Thu,SYSDEV,MEN,7:41,pproject-folio; work-alallamhost
135,2014-4-24,Thu,DESIGN,MEN,0:55,Rss
136,2014-4-24,Thu,WRITING,MEN,1:58,work-alallamhost - content
137,2014-4-25,Fri,WORKOUT,PHY,0:27,
138,2014-4-25,Fri,SYSDEV,MEN,2:15,webinar-yeoman
139,2014-4-26,Sat,WORKOUT,PHY,0:17,
140,2014-4-26,Sat,SYSDEV,MEN,5:31,pproject-folio; webinar-javascript
141,2014-4-26,Sat,DSGN-ILLUSTRATOR,MEN,0:35,work-pest control add
142,2014-4-26,Sat,SYSADM,MEN,2:19,work-jobber gps plot
143,2014-4-27,Sun,SYSDEV,MEN,3:37,webinar-javascript; pprojects-folio
144,2014-4-27,Sun,SYSADM,MEN,5:24,work-reports rzd; work-lsportsleague
145,2014-4-27,Sun,PERSDEV,MEN,0:50,tnk&grwr1ch
146,2014-4-28,Mon,WORKOUT,PHY,0:26,
147,2014-4-28,Mon,SYSDEV,MEN,8:43,webinar-javascript/angular; webinar-angular
148,2014-4-28,Mon,SYSADM,MEN,1:00,work-lsportsleague
149,2014-4-29,Tue,SYSDEV,MEN,1:43,pproject-folio
150,2014-4-29,Tue,DESIGN,MEN,1:11,work-lsportsleauge theme design
151,2014-4-29,Tue,SYSADM,MEN,4:04,work-troubleshoot alallamcleaning.com server down; work-lsportsleague
152,2014-4-30,Wed,WORKOUT,PHY,0:26,
153,2014-4-30,Wed,SYSDEV,MEN,1:56,pproject-folio
154,2014-4-30,Wed,DESIGN,MEN,2:49,work-lsportsleauge mock; webinar-moNgodb
155,2014-4-30,Wed,PERSDEV,MEN,0:19,webinar-study and learning fast
156,2014-5-1,Thu,DESIGN,MEN,4:17,webinar-illustrator / web design; Work-supermarket
157,2014-5-2,Fri,WORKOUT,PHY,0:27,
158,2014-5-3,Sat,SYSDEV,MEN,5:21,webinar-html5; pproject-foilo; work-lsportsleague new ui dev
159,2014-5-3,Sat,DESIGN,MEN,0:49,work-alallamhost front end
160,2014-5-3,Sat,SYSADM,MEN,2:23,work-jobber
161,2014-5-3,Sat,R&R,MEN,0:11,puzzlegames
162,2014-5-4,Sun,WORKOUT,PHY,2:47,webinar-angularjs
163,2014-5-4,Sun,SYSDEV,MEN,5:42,work-alallamhost; work-freshmaid letter head; pproj-folio
164,2014-5-4,Sun,SYSADM,MEN,0:37,work-jobber gps
165,2014-5-5,Mon,WORKOUT,PHY,0:39,
166,2014-5-5,Mon,DESIGN,MEN,1:39,webinar-pshop
167,2014-5-5,Mon,SYSADM,MEN,1:43,work-fb marketing
168,2014-5-6,Tue,WORKOUT,PHY,0:32,
169,2014-5-6,Tue,SYSDEV,MEN,3:10,training-angularjs tuts proj; webinar-angularjs
170,2014-5-6,Tue,SYSADM,MEN,2:28,setting up linux devstack
171,2014-5-6,Tue,PERSDEV,MEN,0:24,tnk&grwrich
172,2014-5-6,Tue,R&R,MEN,0:53,naruto
173,2014-5-7,Wed,SYSDEV,MEN,4:57,webinar-js frameworks; work:alallamhost update
174,2014-5-7,Wed,DESIGN,MEN,1:41,pproj-folio
175,2014-5-7,Wed,R&R,MEN,1:05,naru
176,2014-5-8,Thu,SYSDEV,MEN,2:39,webinar-angularjs
177,2014-5-9,Fri,PERSDEV,MEN,0:45,tnk&grwrch
178,2014-5-10,Sat,WORKOUT,PHY,0:24,
179,2014-5-10,Sat,SYSDEV,MEN,2:09,webinar-angularjs
180,2014-5-10,Sat,PROMNG,MEN,0:25,
181,2014-5-11,Sun,DESIGN,MEN,3:13,work-alallamhost
182,2014-5-11,Sun,SYSADM,MEN,1:49,work-hris emails
183,2014-5-12,Mon,WORKOUT,PHY,0:30,
184,2014-5-12,Mon,SYSDEV,MEN,1:52,pproj-folio / create a repo for the folio project
185,2014-5-13,Tue,WORKOUT,PHY,0:28,
186,2014-5-14,Wed,WORKOUT,PHY,0:17,
187,2014-5-15,Thu,WORKOUT,PHY,0:30,
188,2014-5-15,Thu,SYSDEV,MEN,2:16,pproj-folio
189,2014-5-15,Thu,SYSADM,MEN,1:35,work-hris
190,2014-5-15,Thu,PERSDEV,MEN,4:39,tnk&grwrich
191,2014-5-15,Thu,R&R,MEN,0:56,naruto; naruto
192,2014-5-17,Sat,WORKOUT,PHY,0:35,
193,2014-5-17,Sat,SYSDEV,MEN,2:08,angularjs
194,2014-5-17,Sat,DSGN-ILLUSTRATOR,MEN,1:07,
195,2014-5-18,Sun,WORKOUT,PHY,0:47,
196,2014-5-18,Sun,SYSDEV,MEN,3:34,webinar-angularjs; training-angularjs; Training-angularjs
197,2014-5-18,Sun,SYSADM,MEN,1:06,remittance
198,2014-5-19,Mon,SYSDEV,MEN,2:37,training-angular; training-angularjs
199,2014-5-20,Tue,WORKOUT,PHY,0:14,
200,2014-5-20,Tue,SYSDEV,MEN,6:06,webinar-wordpress; pproject-taskmgr; pproject-folio
201,2014-5-21,Wed,SYSDEV,MEN,2:35,pproject-folio
202,2014-5-22,Thu,WORKOUT,PHY,0:19,
203,2014-5-22,Thu,SYSDEV,MEN,1:45,webinar-jquery; jscript
204,2014-5-22,Thu,PROMNG,MEN,0:58,pproject-mind mapping
205,2014-5-23,Fri,SYSDEV,MEN,0:03,pproj-taskmngr
206,2014-5-23,Fri,DESIGN,MEN,0:23,webinar-aftereffects
207,2014-5-23,Fri,PERSDEV,MEN,0:53,talent is not enuff; tnk&grwrich
208,2014-5-24,Sat,WORKOUT,PHY,0:30,
209,2014-5-24,Sat,SYSADM,MEN,1:37,work-remittance
210,2014-5-24,Sat,PERSDEV,MEN,1:59,tnk&grwrich
211,2014-5-25,Sun,WORKOUT,PHY,0:23,
212,2014-5-25,Sun,SYSDEV,MEN,2:28,pproj-folio; pproj-folio/avatar
213,2014-5-25,Sun,PERSDEV,MEN,0:25,tnk&grwrich
214,2014-5-26,Mon,SYSDEV,MEN,3:46,pprog-task-mgr; pprog-task-mgr
215,2014-5-26,Mon,R&R,MEN,0:48,naruto; naruto
